Line	Resistance
X12XR132.6.1	0
X12XR132.6.3	0
X12XR132.6.4	0
X12XR132.6.5	0
X12XR132.6.6	0
X12XR132.6.8	0
X12XR132.6.11	0
X12XR132.6.12	0
X12XR134.4.1	0
X12XR134.4.2	0
X12XR134.4.3	0
X12XR134.4.4	0
X12XR134.4.5	0
X12XR140.2.1	1
X12XR140.2.2	1
X12XR140.2.8	0
X12XR140.2.9	0
X12XR140.2.11	0
X12XR140.2.13	1
X12XR140.5.8	0
X12XR140.5.9	0
X12XR140.5.10	0
X12XR140.5.12	0
X12XR147.1.1	1
X12XR147.1.3	0
X12XR147.1.7	1
X12XR147.1.10	1
X12XR150.8.1	0
X12XR150.8.2	0
X12XR150.8.6	0
X12XR150.8.7	0
X12XR150.17.3	0
X12XR150.17.5	0
X12XR153.13.3	0
X12XR153.13.4	0
X12XR153.13.6	0
X12XR158.13.1	0
X12XR158.13.4	1
X12XR158.13.7	0
X12XR158.13.8	1
X12XR158.13.9	0
X12XR158.13.10	NA
X12XR158.13.12	0
X12XR158.13.13	0
X12XR158.13.14	0
X12XR158.13.16	1
X12XR158.13.17	0
X12XR158.13.19	0
X12XR158.14.1	0
X12XR158.14.2	0
X12XR158.14.4	0
X12XR158.14.5	NA
X12XR158.14.6	0
X12XR158.14.9	1
X12XR158.14.11	0
X12XR158.14.12	0
X12XR162.3.1	1
X12XR162.3.2	0
X12XR162.3.3	0
X12XR162.3.5	0
X12XR162.3.6	0
X12XR163.4.1	0
X12XR163.4.4	0
X12XR163.4.7	0
X12XR163.4.11	0
X12XR163.22.3	0
X12XR163.22.4	0
X12XR163.22.5	0
X12XR163.22.6	0
X12XR163.22.7	0
X12XR163.22.8	0
X12XR163.22.9	0
X12XR163.22.10	0
X12XR163.22.11	0
X12XR163.22.12	0
X12XR163.22.13	0
X12XR164.4.1	0
X12XR164.4.2	0
X12XR164.4.3	1
X12XR168.5.2	1
X12XR168.5.4	0
X12XR168.5.6	0
X12XR168.5.7	1
X12XR168.8.2	0
X12XR168.8.3	0
X12XR168.8.6	0
X12XR169.1.1	1
X12XR169.1.4	1
X12XR169.1.5	0
X12XR169.1.10	0
X12XR169.1.11	0
X12XR169.1.13	0
X12XR169.11.1	0
X12XR169.11.4	0
X12XR169.11.7	0
X12XR169.11.9	1
X12XR169.13.2	1
X12XR169.13.5	1
X12XR169.13.8	1
X12XR169.13.9	0
X12XR169.13.12	1
X12XR169.13.14	0
X12XR169.13.15	0
X12XR169.13.16	0
X12XR170.5.1	0
X12XR170.5.2	0
X12XR170.5.3	0
X12XR170.5.4	0
X12XR170.5.5	0
RB0713GH.Rep	0
FALLER.10.11A.Rep	0
PI.410954.10.3.Rep	1
