"chr"	"pos"	"lod"
"BobWhite_c23997_952"	"6D"	9.471	0.03562914855139
"BS00010657_51"	"6D"	9.471001	0.0356291508491609
"BS00022481_51"	"6D"	9.471002	0.0356291490713652
"BS00075409_51"	"6D"	9.471003	0.035629113317782
"Excalibur_c13572_1025"	"6D"	9.471004	0.0356287893409259
"Excalibur_c4789_2748"	"6D"	9.471005	0.0356256142688665
"JD_c10441_129"	"6D"	9.471006	0.0355971774583921
"Kukri_c17004_1135"	"6D"	9.471007	0.0355940287136285
"RAC875_c5568_263"	"6D"	9.471008	0.0355937683817622
"RAC875_rep_c116670_309"	"6D"	9.471009	0.0355906180177641
"RFL_Contig2815_1135"	"6D"	9.47101	0.0355621816258136
"TA004720-0732"	"6D"	9.471011	0.0353067554233313
"wsnp_Ex_c18664_27540364"	"6D"	9.471012	0.0352784329864377
"wsnp_Ex_c4789_8550135"	"6D"	9.471013	0.0352752925143562
"wsnp_Ku_c19587_29102203"	"6D"	9.471014	0.0352751936491664
"c6D.loc1"	"6D"	10.471	0.0359825233522031
"Excalibur_c18072_76"	"6D"	10.701015	0.0359625545472717
"c6D.loc2"	"6D"	11.471	0.0500223045844308
"c6D.loc3"	"6D"	12.471	0.0729629205159199
"c6D.loc4"	"6D"	13.471	0.101948677326853
"RAC875_c2102_3487"	"6D"	14.347016	0.133027439268922
"c6D.loc5"	"6D"	14.471	0.164905214384831
"D_contig07404_178"	"6D"	14.739017	0.251655487637557
"Ex_c3405_203"	"6D"	14.739018	0.251658835251344
"Excalibur_c10358_1800"	"6D"	14.739019	0.251658251762727
"RAC875_rep_c118305_229"	"6D"	14.73902	0.251653029545857
"CAP7_c1208_150"	"6D"	15.136021	0.000458893734258226
"c6D.loc6"	"6D"	15.471	0.0128067043600204
"BobWhite_c22545_318"	"6D"	16.243022	0.105415613203089
"BobWhite_c39821_167"	"6D"	16.243023	0.105417093718764
"BS00109960_51"	"6D"	16.243024	0.105417258765282
"Ex_c477_1253"	"6D"	16.243025	0.105417282019292
"JD_c23_3032"	"6D"	16.243026	0.105417328854401
"Kukri_c64412_175"	"6D"	16.243027	0.105417352091191
"c6D.loc7"	"6D"	16.471	0.119890071010726
