"chr"	"pos"	"lod"
"BobWhite_c23997_952"	"6D"	20.78	0.0286269074633481
"BS00010657_51"	"6D"	20.780001	0.0286269074633481
"BS00022481_51"	"6D"	20.780002	0.0286269074633481
"BS00075409_51"	"6D"	20.780003	0.0284449456120003
"Excalibur_c13572_1025"	"6D"	20.780004	0.0260977403958685
"Excalibur_c4789_2748"	"6D"	20.780005	0.0262691152625331
"JD_c10441_129"	"6D"	20.780006	0.0268842605343165
"Kukri_c17004_1135"	"6D"	20.780007	0.0268842605343165
"RAC875_c5568_263"	"6D"	20.780008	0.0267883307709646
"RAC875_rep_c116670_309"	"6D"	20.780009	0.0267883307709646
"RFL_Contig2815_1135"	"6D"	20.78001	0.0272889308316906
"TA004720-0732"	"6D"	20.780011	2.48939341547205
"wsnp_Ex_c18664_27540364"	"6D"	20.780012	2.49530379102469
"wsnp_Ex_c4789_8550135"	"6D"	20.780013	2.49530379102469
"wsnp_Ku_c19587_29102203"	"6D"	20.780014	2.49558991658922
"c6D.loc1"	"6D"	21.78	1.64973788669425
"c6D.loc2"	"6D"	22.78	0.667995635422561
"Excalibur_c18072_76"	"6D"	23.480015	0.200780199159267
"c6D.loc3"	"6D"	23.78	0.201698720441954
"c6D.loc4"	"6D"	24.78	0.220049757920584
"c6D.loc5"	"6D"	25.78	0.244343626806219
"c6D.loc6"	"6D"	26.78	0.253414724679057
"c6D.loc7"	"6D"	27.78	0.244063408810283
"c6D.loc8"	"6D"	28.78	0.217729943254823
"c6D.loc9"	"6D"	29.78	0.203967764441037
"c6D.loc10"	"6D"	30.78	0.156184937148174
"RAC875_c2102_3487"	"6D"	31.480016	0.0573282092771869
"c6D.loc11"	"6D"	31.78	0.0780907954902761
"D_contig07404_178"	"6D"	32.340017	0.105993302105261
"Ex_c3405_203"	"6D"	32.340018	0.105993302105261
"Excalibur_c10358_1800"	"6D"	32.340019	0.105993302105261
"RAC875_rep_c118305_229"	"6D"	32.34002	0.119466878703023
"c6D.loc12"	"6D"	32.78	0.277617252200884
"CAP7_c1208_150"	"6D"	33.210021	0.0373962139497961
"c6D.loc13"	"6D"	33.78	0.0355306918627314
"c6D.loc14"	"6D"	34.78	0.0315066394525129
"BobWhite_c22545_318"	"6D"	35.640022	0.0292980716495169
"BobWhite_c39821_167"	"6D"	35.640023	0.0292980716495169
"BS00109960_51"	"6D"	35.640024	0.0292980716495169
"Ex_c477_1253"	"6D"	35.640025	0.0292980716495169
"JD_c23_3032"	"6D"	35.640026	0.0292902507636664
"Kukri_c64412_175"	"6D"	35.640027	0.0292902507636664
"c6D.loc15"	"6D"	35.78	0.0292902507636664
"c6D.loc16"	"6D"	36.78	0.0292679466390749
"TA002853-0110-w"	"6D"	37.330028	0.0292902507636664
"wsnp_Ex_c14439_22426200"	"6D"	37.330029	0.0292902507636664
"c6D.loc17"	"6D"	37.78	1.83029819274753
"c6D.loc18"	"6D"	38.78	10.7197873728579
"c6D.loc19"	"6D"	39.78	17.4165424509332
"IACX9471"	"6D"	39.93003	15.7060907557109
"c6D.loc20"	"6D"	40.78	3.50880039026501
"BobWhite_c11347_194"	"6D"	41.680031	0.0632143046916055
"Excalibur_c7731_2743"	"6D"	41.680032	0.0632143046916055
"Excalibur_c7731_645"	"6D"	41.680033	0.0632143046916055
"Kukri_c55362_75"	"6D"	41.680034	0.0619461541046524
"Ra_c2102_2212"	"6D"	41.680035	0.0548477772671633
"RAC875_c2102_2959"	"6D"	41.680036	0.0548477772671633
"wsnp_Ku_c2637_5009091"	"6D"	41.680037	0.0548477772671633
"c6D.loc21"	"6D"	41.78	1.31148714689048
"D_contig14230_361"	"6D"	41.790038	1.40145303673229
"c6D.loc22"	"6D"	42.78	0.31499116636848
"c6D.loc23"	"6D"	43.78	0.571442997488092
"Excalibur_c1991_1504"	"6D"	44.770039	2.37575171855752
"c6D.loc24"	"6D"	44.78	2.4089278545667
"RAC875_rep_c85994_258"	"6D"	45.15004	4.6768173411272
"BobWhite_c7090_2001"	"6D"	45.520041	5.28077562608169
"Excalibur_rep_c66622_1066"	"6D"	45.520042	5.27894298822047
"Excalibur_rep_c84264_67"	"6D"	45.520043	5.28115345809529
"Excalibur_s114066_247"	"6D"	45.520044	5.28084632675662
"Kukri_rep_c68823_315"	"6D"	45.520045	5.27962198913729
"Kukri_rep_c68823_696"	"6D"	45.520046	5.27962198913729
"c6D.loc25"	"6D"	45.78	4.20640372450503
"c6D.loc26"	"6D"	46.78	0.252715609031872
"c6D.loc27"	"6D"	47.78	2.81884727151232
"BobWhite_c11808_975"	"6D"	47.890047	3.23136496718318
"c6D.loc28"	"6D"	48.78	1.64086366886252
"c6D.loc29"	"6D"	49.78	0.505575165350077
"BobWhite_c7090_522"	"6D"	50.300048	0.139334232375235
"BobWhite_c7090_778"	"6D"	50.300049	0.139222545858186
"BS00063476_51"	"6D"	50.30005	0.139222545858186
"Excalibur_c53680_124"	"6D"	50.300051	0.139222545858186
